# full_text.txt
TH 1841355 2.685
HE 1392264 2.030
IN 1340191 1.954
ER 1111815 1.621
RE 1063229 1.550
AN 1061152 1.547
ES  962952 1.404
AT  913390 1.332
ON  912644 1.331
TI  851747 1.242
NT  851481 1.242
ST  846753 1.235
EN  832678 1.214
ND  718278 1.047
OR  696447 1.016
TE  691216 1.008
ED  685783 1.000
EA  678916 0.990
TO  673526 0.982
IT  640877 0.935
AL  629368 0.918
HA  622478 0.908
AR  562575 0.820
SE  553538 0.807
ET  552378 0.805
NG  548146 0.799
IS  532834 0.777
OU  528542 0.771
AS  511208 0.745
OF  503445 0.734
SI  470896 0.687
LE  452307 0.660
VE  451314 0.658
RO  447098 0.652
RA  445859 0.650
TA  445292 0.649
SA  433620 0.632
EC  428020 0.624
ME  423796 0.618
RI  423790 0.618
NE  414668 0.605
IO  409315 0.597
DE  401754 0.586
CO  401224 0.585
LI  395715 0.577
DI  393245 0.573
HI  392351 0.572
EL  380939 0.555
NO  380309 0.555
SO  377278 0.550
LL  374310 0.546
IC  368932 0.538
NA  363817 0.531
NS  343719 0.501
TS  342551 0.500
OT  340360 0.496
LA  337843 0.493
CE  335840 0.490
CA  328659 0.479
OM  326866 0.477
MA  319221 0.465
TT  310954 0.453
SS  309792 0.452
RT  297271 0.433
HO  285543 0.416
EM  283783 0.414
US  280440 0.409
NI  276732 0.404
EI  276413 0.403
AC  274356 0.400
BE  272169 0.397
EE  269370 0.393
PR  269302 0.393
CH  267029 0.389
TR  266360 0.388
UR  265821 0.388
RS  265524 0.387
FO  264959 0.386
NC  264709 0.386
LY  260778 0.380
GE  251321 0.366
EP  249995 0.365
UT  249057 0.363
WE  247997 0.362
DA  247921 0.362
CT  247052 0.360
PE  241760 0.353
OW  236119 0.344
DT  235235 0.343
IL  229967 0.335
LO  225943 0.329
DO  222442 0.324
EO  221621 0.323
OS  218146 0.318
YO  216136 0.315
MO  211287 0.308
OL  211165 0.308
EW  210178 0.306
WA  207515 0.303
MI  206911 0.302
ID  204049 0.298
WI  202113 0.295
SH  201163 0.293
SU  197160 0.287
UN  196719 0.287
FI  194293 0.283
AD  193316 0.282
PA  193061 0.282
FT  192891 0.281
PO  192346 0.280
IM  191194 0.279
IE  191043 0.279
EF  186494 0.272
UL  185500 0.270
AM  184432 0.269
WH  181742 0.265
SP  174204 0.254
IG  173501 0.253
AI  172453 0.251
EV  168136 0.245
SC  167330 0.244
IA  162337 0.237
AB  158574 0.231
IV  156628 0.228
TU  154539 0.225
DS  151076 0.220
VI  149115 0.217
PL  148626 0.217
AY  148185 0.216
GA  146899 0.214
HT  146493 0.214
TY  146158 0.213
OP  145657 0.212
IR  144895 0.211
CI  144854 0.211
SW  143301 0.209
KE  143162 0.209
LD  142842 0.208
TW  139214 0.203
LS  138553 0.202
GH  138218 0.202
AP  136272 0.199
FE  135548 0.198
MP  134107 0.196
EY  133930 0.195
RY  133917 0.195
OD  133399 0.195
UM  132979 0.194
OO  132324 0.193
GO  130868 0.191
AG  130652 0.191
YT  129809 0.189
YS  129585 0.189
FA  128762 0.188
AV  127487 0.186
EB  126772 0.185
EG  126258 0.184
YE  126225 0.184
WO  125768 0.183
IF  125570 0.183
BU  122916 0.179
BO  122401 0.178
BL  121016 0.176
LT  120541 0.176
EX  118489 0.173
OC  117723 0.172
RM  117117 0.171
FR  115464 0.168
GT  113765 0.166
RD  109018 0.159
UH  108299 0.158
CL  105913 0.154
GR  105801 0.154
DU  105355 0.154
YA  104481 0.152
UC  103776 0.151
GI  102722 0.150
CR  102660 0.150
OV  100405 0.146
BA  100185 0.146
OB  100179 0.146
FF   98744 0.144
RC   98210 0.143
EH   98178 0.143
SM   96441 0.141
RN   92726 0.135
UE   91366 0.133
SF   90440 0.132
DB   89331 0.130
RR   87792 0.128
OI   87346 0.127
LU   86964 0.127
TC   85279 0.124
HU   84745 0.124
BI   84460 0.123
CU   84058 0.123
KI   83312 0.121
OA   82512 0.120
TL   82325 0.120
YI   81641 0.119
DR   80818 0.118
NF   80188 0.117
SB   79404 0.116
QU   79226 0.116
RU   78731 0.115
BY   78176 0.114
OG   76906 0.112
VA   76664 0.112
PI   75335 0.110
AU   74597 0.109
EU   73943 0.108
SL   73906 0.108
NY   73043 0.107
MU   72544 0.106
UP   72327 0.105
CK   71751 0.105
UG   71404 0.104
AH   70829 0.103
PP   70361 0.103
UA   69114 0.101
DW   68720 0.100
KN   67630 0.099
SN   67552 0.099
PT   66208 0.097
AF   65977 0.096
RG   65200 0.095
GU   64235 0.094
UD   64162 0.094
TM   64084 0.093
IB   62120 0.091
NU   61802 0.090
DD   61704 0.090
AK   60389 0.088
MS   60313 0.088
SR   60085 0.088
SD   59206 0.086
PH   59176 0.086
MM   59097 0.086
PU   59047 0.086
GS   58957 0.086
FU   58565 0.085
NW   58557 0.085
MB   58454 0.085
NN   58399 0.085
TB   58393 0.085
RP   58127 0.085
DC   57843 0.084
BR   57152 0.083
RK   56910 0.083
HR   56680 0.083
NM   56505 0.082
RL   56446 0.082
DF   56084 0.082
OH   55498 0.081
YC   55179 0.080
IK   54876 0.080
DM   54454 0.079
HY   53993 0.079
YP   53892 0.079
YW   53376 0.078
UB   53005 0.077
NL   52765 0.077
TP   52474 0.077
DN   52059 0.076
NP   51560 0.075
UI   51222 0.075
NK   51171 0.075
DH   50764 0.074
NB   50118 0.073
JU   50037 0.073
DP   49908 0.073
CC   49827 0.073
IP   49796 0.073
DY   49748 0.073
YB   48920 0.071
SY   48192 0.070
AW   48116 0.070
TF   47900 0.070
MT   47635 0.069
RV   47280 0.069
OK   47078 0.069
RF   47039 0.069
GN   46664 0.068
YM   46619 0.068
NH   45837 0.067
XP   45780 0.067
LC   44150 0.064
FL   43917 0.064
OE   43617 0.064
MY   43346 0.063
WN   43254 0.063
RW   42885 0.063
RB   42882 0.063
DL   42793 0.062
TD   42103 0.061
EQ   41748 0.061
LF   41228 0.060
YD   41086 0.060
IZ   40650 0.059
LP   40289 0.059
YR   39795 0.058
UK   39655 0.058
GL   39460 0.058
HS   39263 0.057
KA   37010 0.054
KS   36997 0.054
PS   36470 0.053
RH   36448 0.053
NR   36332 0.053
NV   36170 0.053
YF   34979 0.051
FS   34724 0.051
YH   34518 0.050
DG   33962 0.050
YL   33839 0.049
HH   33609 0.049
VO   33371 0.049
LM   32703 0.048
WS   32647 0.048
SG   32236 0.047
FC   31995 0.047
HW   31646 0.046
OY   31547 0.046
ZE   31378 0.046
TN   31365 0.046
AA   31138 0.045
BS   31075 0.045
SK   31040 0.045
CY   30662 0.045
EK   30122 0.044
JO   29915 0.044
WT   29487 0.043
LB   27837 0.041
YN   27157 0.040
HC   26718 0.039
FP   26682 0.039
TG   26331 0.038
HM   26298 0.038
LW   25949 0.038
KT   25937 0.038
LR   25885 0.038
MH   25572 0.037
GG   25342 0.037
